account_id,customer_id,account_type,currency,opened_on,closed_on,overdraft_limit
168,1039,savings,GBP,2025-12-28,,0.00
169,1,savings,GBP,2024-12-29,2025-09-12,0.00
170,2221,current,GBP,2025-12-22,2027-04-12,0.00
171,356,current,GBP,2024-08-16,,1000.00
172,686,credit_card,GBP,2025-03-14,,0.00
173,1,current,USD,2025-11-12,,1000.00
174,1,current,GBP,2025-11-26,,0.00
175,42,loan,GBP,2024-01-16,,0.00
176,199,current,USD,2025-08-08,,1000.00
177,2165,credit_card,GBP,2024-02-17,,0.00
178,1,savings,GBP,2024-06-29,,0.00
179,2,savings,GBP,2024-01-28,,0.00
180,614,savings,USD,2024-06-01,,0.00
181,183,current,GBP,2024-10-19,,0.00
182,5,savings,GBP,2024-12-06,,0.00
183,417,credit_card,GBP,2024-06-02,,0.00
184,78,current,GBP,2025-03-10,,2000.00
185,1,credit_card,GBP,2025-02-25,,0.00
186,396,savings,GBP,2025-12-14,,0.00
187,3,current,USD,2024-02-22,,250.00
188,1,current,USD,2025-04-16,,2000.00
189,33,savings,GBP,2024-06-21,,0.00
190,9,current,GBP,2025-12-01,,250.00
191,630,current,GBP,2025-05-06,,0.00
192,1,loan,EUR,2024-02-09,,0.00
193,1,savings,USD,2025-03-23,,0.00
194,1,savings,GBP,2025-12-04,,0.00
195,60,current,USD,2025-08-23,,0.00
196,9,current,GBP,2025-05-13,,500.00
197,596,savings,GBP,2025-03-03,,0.00
198,824,current,GBP,2025-05-03,,2000.00
199,3,current,USD,2025-08-03,,500.00
200,2,credit_card,EUR,2024-11-30,,0.00
201,1,current,GBP,2024-06-25,,250.00
202,264,current,GBP,2025-01-14,,250.00
203,4302,credit_card,GBP,2024-08-11,,0.00
204,115,credit_card,GBP,2025-12-12,,0.00
205,2,savings,USD,2024-02-10,,0.00
206,20,savings,GBP,2025-02-27,,0.00
207,548,savings,USD,2025-10-15,,0.00
208,1444,current,EUR,2024-12-02,,0.00
209,156,current,GBP,2024-08-31,,500.00
210,8,current,GBP,2024-07-23,2025-11-23,500.00
211,188,savings,GBP,2025-08-29,,0.00
212,8678,current,USD,2024-06-06,,1000.00
213,5,credit_card,GBP,2024-04-09,2025-02-25,0.00
214,1867,current,EUR,2025-05-26,,2000.00
215,193,savings,EUR,2025-11-19,,0.00
216,979,savings,GBP,2025-06-12,,0.00
217,133,current,GBP,2024-02-10,,250.00
218,2,current,EUR,2024-02-07,,0.00
219,1,savings,GBP,2025-08-17,,0.00
220,12,credit_card,GBP,2024-07-01,,0.00
221,18,current,EUR,2024-01-20,,2000.00
222,516,current,GBP,2024-10-27,,1000.00
223,3,savings,GBP,2025-04-17,,0.00
224,4868,savings,GBP,2024-09-16,,0.00
225,585,credit_card,GBP,2024-12-29,,0.00
226,1,current,GBP,2025-10-19,,500.00
227,254,current,GBP,2024-08-30,,0.00
228,5,savings,GBP,2025-07-22,,0.00
229,3,current,USD,2024-02-25,,2000.00
230,1,current,GBP,2024-07-06,,1000.00
231,1,current,GBP,2025-01-04,,0.00
232,2,credit_card,GBP,2024-08-28,,0.00
233,424,current,USD,2025-07-15,,0.00
234,265,current,USD,2024-07-14,,0.00
235,2974,current,GBP,2025-01-03,,250.00
236,1064,current,USD,2024-08-30,,0.00
237,6,current,USD,2025-06-21,,500.00
238,2,current,USD,2025-12-10,,500.00
239,4422,current,GBP,2024-08-16,,500.00
240,12,savings,USD,2025-03-09,2025-12-22,0.00
241,16,savings,GBP,2024-03-10,,0.00
242,10,current,GBP,2025-02-05,,2000.00
243,47,current,EUR,2025-12-28,,250.00
244,356,credit_card,GBP,2024-05-09,,0.00
245,980,savings,EUR,2024-04-13,,0.00
246,1,current,GBP,2024-07-16,,1000.00
247,1974,current,EUR,2024-09-25,,500.00
248,5,savings,GBP,2025-08-04,,0.00
249,12,current,GBP,2025-08-29,,0.00
250,1532,savings,GBP,2025-03-29,,0.00
251,6659,savings,GBP,2024-10-12,2025-09-14,0.00
252,1,savings,GBP,2024-09-03,,0.00
253,10,savings,GBP,2025-09-01,,0.00
254,11,savings,USD,2025-09-02,,0.00
255,222,loan,EUR,2024-12-31,,0.00
256,224,current,GBP,2025-05-23,,1000.00
257,15,current,GBP,2024-03-14,,250.00
258,5,current,USD,2024-03-28,,500.00
259,34,savings,GBP,2024-06-21,,0.00
260,402,credit_card,GBP,2024-05-15,,0.00
261,5,current,GBP,2024-07-20,,1000.00
262,346,savings,GBP,2025-11-08,,0.00
263,1,current,GBP,2024-10-02,,250.00
264,1160,current,GBP,2024-02-03,,0.00
265,126,current,EUR,2024-08-29,,250.00
266,1002,savings,GBP,2024-06-17,,0.00
267,2354,credit_card,GBP,2024-12-19,,0.00
268,5732,savings,GBP,2025-09-28,,0.00
269,34,savings,USD,2024-01-24,,0.00
270,303,current,GBP,2025-11-21,,1000.00
271,2,current,USD,2024-03-08,,1000.00
272,69,current,GBP,2025-01-04,,1000.00
273,2,credit_card,USD,2024-10-30,,0.00
274,854,savings,GBP,2025-11-18,,0.00
275,1,loan,GBP,2025-06-07,,0.00
276,5539,savings,GBP,2025-06-21,,0.00
277,2,current,GBP,2024-06-12,,1000.00
278,16,current,GBP,2025-01-19,,0.00
279,150,current,GBP,2024-08-18,,250.00
280,4,current,USD,2025-08-03,,500.00
281,1,current,USD,2024-08-03,2025-11-15,0.00
282,2,credit_card,GBP,2025-12-03,2026-04-24,0.00
283,2,savings,GBP,2024-07-06,,0.00
284,32,savings,EUR,2025-03-10,,0.00
285,6,savings,GBP,2025-10-06,,0.00
286,22,loan,USD,2024-05-21,,0.00
287,10,savings,GBP,2024-11-20,,0.00
288,9,savings,USD,2025-08-15,2025-10-06,0.00
289,2152,savings,GBP,2024-01-23,2024-12-21,0.00
290,1,current,GBP,2025-12-27,,0.00
291,1589,current,USD,2024-04-23,2024-08-22,250.00
292,52,current,USD,2025-06-26,,500.00
293,188,current,GBP,2025-02-13,,0.00
294,30,current,GBP,2025-02-23,,1000.00
295,3,credit_card,EUR,2025-01-17,,0.00
296,105,current,GBP,2024-11-04,,1000.00
297,1,current,GBP,2024-11-01,,1000.00
298,6,savings,USD,2024-08-03,,0.00
299,2585,credit_card,GBP,2024-07-17,,0.00
300,1,savings,GBP,2024-10-04,,0.00
301,47,current,GBP,2025-02-15,,500.00
302,11,savings,USD,2025-03-04,,0.00
303,2,savings,GBP,2025-12-08,2026-11-16,0.00
304,1,current,USD,2025-07-18,,2000.00
305,2020,savings,GBP,2024-03-11,,0.00
306,213,loan,USD,2024-01-13,,0.00
307,4045,current,GBP,2025-04-24,,1000.00
308,10,current,GBP,2025-11-03,,0.00
309,8,current,EUR,2025-01-18,,250.00
310,84,current,GBP,2024-02-22,,2000.00
311,40,current,GBP,2025-09-20,,500.00
312,301,current,GBP,2024-10-14,,2000.00
313,5,current,GBP,2025-05-29,2026-09-09,0.00
314,3167,current,USD,2025-09-29,,0.00
315,19,current,GBP,2025-05-13,,0.00
316,1,current,GBP,2024-04-11,,1000.00
317,7,credit_card,GBP,2025-11-04,,0.00
318,292,current,GBP,2024-11-29,2025-07-30,2000.00
319,1,current,GBP,2025-03-25,,0.00
320,92,current,GBP,2025-03-27,,1000.00
321,135,credit_card,USD,2025-02-02,,0.00
322,642,savings,USD,2024-06-21,,0.00
323,4,current,GBP,2024-03-28,,2000.00
324,319,savings,GBP,2025-04-26,,0.00
325,207,credit_card,EUR,2024-06-20,,0.00
326,1,current,GBP,2024-04-10,,2000.00
327,104,current,USD,2025-11-15,,0.00
328,2,credit_card,GBP,2024-03-16,,0.00
329,82,credit_card,GBP,2024-12-11,,0.00
330,1,current,USD,2025-12-20,,2000.00
331,4181,current,GBP,2025-11-01,,0.00
332,140,savings,GBP,2024-11-14,,0.00
333,1,current,GBP,2024-12-26,,250.00
334,4,credit_card,EUR,2025-04-11,,0.00
335,5,current,GBP,2025-09-06,,1000.00
336,9,current,USD,2024-01-24,,1000.00
337,5,current,USD,2024-09-11,,500.00
338,1,savings,GBP,2025-07-07,,0.00
339,22,current,GBP,2025-05-28,,2000.00
340,1284,savings,GBP,2024-06-24,,0.00
341,57,current,USD,2025-01-17,,2000.00
342,23,current,GBP,2024-05-13,2024-09-02,2000.00
343,3,current,USD,2025-12-17,,500.00
344,5239,savings,GBP,2025-04-27,,0.00
345,2,loan,USD,2024-12-19,,0.00
346,4,credit_card,GBP,2025-11-17,,0.00
347,2,current,GBP,2024-03-12,,250.00
348,152,savings,EUR,2025-11-29,,0.00
349,66,current,USD,2024-06-01,,2000.00
350,7,current,GBP,2025-07-13,,0.00
351,2,savings,EUR,2024-02-06,,0.00
352,53,current,GBP,2024-09-15,,1000.00
353,4,savings,USD,2025-06-28,,0.00
354,7,savings,GBP,2024-12-01,,0.00
355,2528,current,USD,2025-12-23,,500.00
356,5,current,GBP,2024-05-03,2025-03-30,2000.00
357,3,savings,GBP,2025-09-13,,0.00
358,74,savings,GBP,2025-09-25,,0.00
359,644,current,GBP,2025-10-30,,1000.00
360,5,current,GBP,2024-09-07,,2000.00
361,100,credit_card,USD,2024-09-04,,0.00
362,182,savings,USD,2024-10-01,,0.00
363,1,current,GBP,2024-01-19,,2000.00
364,17,savings,EUR,2024-10-26,,0.00
365,122,current,EUR,2024-02-25,,2000.00
366,15,credit_card,GBP,2024-02-17,,0.00
367,947,savings,GBP,2025-11-29,,0.00
368,341,current,GBP,2024-08-12,,1000.00
369,1,current,GBP,2024-08-18,,1000.00
370,4,credit_card,GBP,2025-08-03,,0.00
371,11,savings,GBP,2024-10-07,,0.00
372,241,loan,GBP,2025-09-19,,0.00
373,4,savings,GBP,2025-04-07,,0.00
374,598,current,USD,2024-01-14,,500.00
375,24,current,GBP,2024-06-08,,250.00
376,88,current,GBP,2024-12-20,,2000.00
377,41,current,USD,2024-06-27,,250.00
378,13,current,GBP,2024-05-16,,500.00
379,2,current,GBP,2025-01-24,,500.00
380,2135,current,GBP,2024-03-17,,1000.00
381,104,savings,GBP,2025-10-17,,0.00
382,50,current,USD,2025-12-16,,250.00
383,102,current,GBP,2024-08-18,,500.00
384,411,savings,USD,2024-01-29,,0.00
385,624,credit_card,GBP,2024-09-13,2024-12-03,0.00
386,1,current,GBP,2025-06-09,2025-12-21,1000.00
387,332,savings,GBP,2025-09-28,,0.00
388,1,current,GBP,2024-05-16,,2000.00
389,40,current,GBP,2024-03-01,,2000.00
390,3786,current,GBP,2024-05-03,,2000.00
391,1066,savings,GBP,2025-01-24,,0.00
392,47,current,USD,2024-10-09,,1000.00
393,14,current,EUR,2025-11-02,,2000.00
394,2,current,EUR,2025-03-05,,0.00
395,190,current,USD,2024-07-23,,500.00
396,8,current,GBP,2024-11-19,,0.00
397,55,current,USD,2025-06-06,,1000.00
398,1,savings,GBP,2025-09-22,,0.00
399,4,current,USD,2024-10-19,,2000.00
400,4,savings,GBP,2024-04-04,,0.00
401,314,current,GBP,2025-07-10,,500.00
402,9,current,USD,2025-02-27,,1000.00
403,967,savings,GBP,2024-03-23,,0.00
404,5188,current,GBP,2024-08-10,,2000.00
405,6,current,GBP,2024-04-27,,250.00
406,5,current,GBP,2025-10-17,,2000.00
407,4,credit_card,USD,2025-11-02,,0.00
408,2729,savings,USD,2024-04-03,,0.00
409,2,savings,GBP,2025-06-13,2026-04-08,0.00
410,2611,current,EUR,2024-08-28,,250.00
411,1,savings,EUR,2025-05-20,,0.00
412,316,savings,GBP,2024-02-21,,0.00
413,6077,current,GBP,2025-04-07,,0.00
414,14,savings,GBP,2025-08-01,,0.00
415,1,current,GBP,2025-11-21,,250.00
416,15,savings,GBP,2025-03-12,,0.00
417,11,credit_card,USD,2025-10-06,,0.00
418,802,current,GBP,2024-01-23,,1000.00
419,307,savings,USD,2024-09-14,,0.00
420,76,savings,EUR,2025-01-28,,0.00
421,2,credit_card,GBP,2024-06-12,,0.00
422,7,loan,GBP,2025-09-02,,0.00
423,7,current,GBP,2024-03-30,,0.00
424,322,savings,GBP,2025-11-14,2026-05-31,0.00
425,4266,current,USD,2024-01-31,,2000.00
426,63,credit_card,GBP,2025-12-20,,0.00
427,4,savings,EUR,2024-03-30,,0.00
428,3154,credit_card,GBP,2024-11-23,,0.00
429,106,credit_card,GBP,2024-01-27,,0.00
430,1,current,GBP,2025-01-04,,0.00
431,2,savings,GBP,2025-06-15,,0.00
432,1,savings,GBP,2025-02-22,,0.00
433,83,credit_card,USD,2024-02-28,,0.00
434,1,current,USD,2024-05-02,,500.00
435,1,savings,USD,2024-02-03,,0.00
436,3,credit_card,GBP,2025-06-19,,0.00
437,2995,current,GBP,2024-11-30,,1000.00
438,40,current,GBP,2024-06-17,,0.00
439,3,current,GBP,2024-11-23,,500.00
440,418,current,EUR,2025-10-02,,500.00
441,1,current,GBP,2024-09-18,,2000.00
442,15,loan,GBP,2024-01-31,,0.00
443,3,savings,USD,2025-05-23,,0.00
444,7,current,GBP,2024-12-12,,0.00
445,103,loan,GBP,2024-01-15,,0.00
446,375,current,GBP,2025-03-23,,0.00
447,412,savings,GBP,2025-06-14,,0.00
448,43,current,GBP,2024-01-25,,1000.00
449,1,current,EUR,2024-04-20,,1000.00
450,8532,credit_card,GBP,2025-01-11,,0.00
451,13,current,GBP,2024-05-15,2025-07-28,500.00
452,3,current,GBP,2025-09-30,,500.00
453,58,current,GBP,2025-03-24,,0.00
454,308,savings,GBP,2024-07-27,,0.00
455,18,current,GBP,2025-08-28,,500.00
456,1379,credit_card,USD,2025-03-29,,0.00
457,4,current,GBP,2024-01-12,,500.00
458,30,current,USD,2024-01-12,,250.00
459,2,current,GBP,2025-03-04,,250.00
460,27,current,EUR,2024-12-08,2025-09-19,1000.00
461,1643,loan,GBP,2024-01-06,,0.00
462,223,current,GBP,2024-09-24,,2000.00
463,10,savings,GBP,2024-09-12,,0.00
464,827,current,EUR,2024-11-30,,2000.00
465,1196,savings,GBP,2025-09-25,,0.00
466,7,credit_card,EUR,2024-02-04,,0.00
467,3811,current,USD,2025-05-26,,1000.00
468,666,loan,USD,2025-07-19,,0.00
469,2255,current,USD,2024-05-24,,250.00
470,40,current,GBP,2025-09-06,,1000.00
471,2,savings,EUR,2024-08-02,,0.00
472,289,savings,GBP,2025-10-29,,0.00
473,105,current,USD,2025-07-01,2026-08-31,1000.00
474,6052,savings,GBP,2024-02-16,,0.00
475,10,savings,GBP,2025-07-09,,0.00
476,1434,current,EUR,2024-08-21,,1000.00
477,256,credit_card,GBP,2025-08-17,,0.00
478,3040,savings,USD,2025-04-12,,0.00
479,1,credit_card,EUR,2024-09-27,,0.00
480,1325,savings,GBP,2024-05-30,,0.00
481,124,savings,GBP,2025-12-14,,0.00
482,293,current,GBP,2025-06-17,,0.00
483,142,current,GBP,2025-04-06,,500.00
484,1,credit_card,GBP,2024-02-20,,0.00
485,39,savings,EUR,2024-12-24,,0.00
486,157,current,EUR,2024-10-25,,1000.00
487,1485,savings,EUR,2024-10-26,,0.00
488,33,current,GBP,2025-04-04,,500.00
489,453,current,GBP,2024-05-28,,2000.00
490,39,current,USD,2024-08-29,,2000.00
491,48,current,EUR,2024-02-14,2025-03-19,0.00
492,12,savings,GBP,2024-03-05,,0.00
493,3,current,GBP,2025-11-14,,1000.00
494,1735,current,GBP,2024-09-21,2025-05-19,500.00
495,4220,savings,GBP,2025-05-06,,0.00
496,110,current,EUR,2025-06-23,,250.00
497,2160,current,GBP,2025-08-07,,1000.00
498,1,current,GBP,2024-09-11,,1000.00
499,9,credit_card,USD,2024-12-01,,0.00
500,10,savings,GBP,2024-07-12,2025-11-16,0.00
501,293,savings,GBP,2024-06-13,,0.00
502,2,credit_card,GBP,2025-11-23,,0.00
503,139,current,GBP,2025-12-13,,250.00
504,433,current,GBP,2025-03-17,,0.00
505,23,loan,GBP,2024-12-24,,0.00
506,1885,current,USD,2024-11-06,,1000.00
507,703,savings,USD,2025-03-30,,0.00
508,25,credit_card,GBP,2024-09-22,2025-08-04,0.00
509,1,savings,GBP,2025-11-08,,0.00
510,3456,credit_card,GBP,2024-11-24,,0.00
511,2029,current,GBP,2024-04-05,2025-05-13,0.00
512,3,credit_card,GBP,2024-06-08,,0.00
513,1332,credit_card,USD,2025-11-03,2027-02-13,0.00
514,31,credit_card,GBP,2025-03-03,,0.00
515,1,current,USD,2024-07-16,,250.00
516,1,credit_card,GBP,2025-04-18,,0.00
517,35,loan,GBP,2025-04-08,,0.00
518,214,current,GBP,2025-08-22,,0.00
519,1,credit_card,GBP,2025-11-22,,0.00
520,3,loan,USD,2025-11-29,,0.00
521,1744,loan,GBP,2025-05-30,2026-01-24,0.00
522,416,current,EUR,2025-11-07,,2000.00
523,31,current,GBP,2025-03-24,,500.00
524,146,savings,USD,2024-07-11,,0.00
525,13,credit_card,GBP,2024-06-27,,0.00
526,12,credit_card,GBP,2024-01-31,,0.00
527,5,current,GBP,2025-01-27,,250.00
528,342,credit_card,EUR,2025-11-23,,0.00
529,276,loan,USD,2024-08-13,,0.00
530,274,loan,GBP,2025-09-11,,0.00
531,6,current,USD,2025-02-11,,2000.00
532,1,current,GBP,2025-01-25,,0.00
533,1,current,GBP,2025-02-26,,0.00
534,48,current,GBP,2025-04-25,,1000.00
535,1414,current,EUR,2025-02-15,,500.00
536,1,current,GBP,2025-06-03,,250.00
537,6,credit_card,EUR,2024-04-22,,0.00
538,1146,current,EUR,2024-10-21,,2000.00
539,3,current,GBP,2024-12-06,,2000.00
540,725,current,GBP,2025-07-11,,250.00
541,2,credit_card,GBP,2024-07-06,,0.00
542,2,savings,GBP,2025-02-28,,0.00
543,1215,current,GBP,2024-01-02,,250.00
544,1,current,USD,2024-02-04,,250.00
545,1925,loan,USD,2024-04-17,,0.00
546,90,current,GBP,2024-09-06,,1000.00
547,4,loan,USD,2024-12-31,,0.00
548,2,credit_card,USD,2024-07-13,,0.00
549,3451,savings,EUR,2024-01-26,,0.00
550,8,current,GBP,2025-05-16,,500.00
551,1710,loan,USD,2024-10-15,,0.00
552,122,savings,EUR,2024-03-22,,0.00
553,1,current,GBP,2025-11-15,,2000.00
554,3,savings,USD,2025-09-13,,0.00
555,1357,loan,GBP,2025-11-21,,0.00
556,7,current,USD,2025-06-08,,500.00
557,594,current,GBP,2025-09-24,,500.00
558,1255,current,USD,2024-02-21,,1000.00
559,1,credit_card,GBP,2024-04-28,,0.00
560,59,current,GBP,2024-05-15,,0.00
561,6,loan,USD,2025-07-28,2025-10-27,0.00
562,10,current,GBP,2025-03-21,,500.00
563,140,loan,EUR,2025-03-05,,0.00
564,7321,current,GBP,2024-01-15,,2000.00
565,4,current,EUR,2025-09-04,,250.00
566,366,credit_card,GBP,2025-03-17,,0.00
567,4192,current,GBP,2025-02-22,,500.00
568,863,savings,GBP,2025-02-27,,0.00
569,1361,loan,GBP,2024-02-19,,0.00
570,2159,savings,EUR,2025-07-01,,0.00
571,2,current,GBP,2025-07-07,,250.00
572,234,savings,GBP,2024-05-18,2024-07-21,0.00
573,2,current,EUR,2024-02-07,,1000.00
574,372,current,GBP,2025-03-31,,250.00
575,1212,credit_card,GBP,2025-08-15,,0.00
576,2,current,GBP,2025-10-27,,250.00
577,72,current,EUR,2024-03-27,,500.00
578,3025,current,EUR,2025-03-21,,250.00
579,1,credit_card,GBP,2024-02-24,,0.00
580,3,savings,GBP,2025-10-20,,0.00
581,1,loan,GBP,2024-04-06,,0.00
582,91,credit_card,GBP,2024-07-16,2025-10-19,0.00
583,217,credit_card,GBP,2024-12-22,,0.00
584,8961,savings,GBP,2024-11-12,,0.00
585,2,loan,GBP,2025-12-24,,0.00
586,6,loan,USD,2025-11-11,,0.00
587,3,loan,GBP,2025-08-19,,0.00
588,7,current,EUR,2025-10-30,,250.00
589,7389,credit_card,EUR,2025-08-09,,0.00
590,194,savings,GBP,2024-12-20,,0.00
591,2,savings,USD,2025-04-09,,0.00
592,3,current,GBP,2025-02-23,,0.00
593,359,current,USD,2024-09-06,,1000.00
594,2632,loan,USD,2024-11-18,,0.00
595,43,current,GBP,2024-01-17,,500.00
596,4,credit_card,EUR,2025-12-14,,0.00
